"Prices of Select Food Items Per Kilogram and Litre, by Community and Region, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baffin,,,,,,,,,,,,,Kivalliq,,,,,,,Kitikmeot,,,,,Global Averages,,,,,,
,Cape Dorset,Hall Beach,Igloolik,Iqaluit,Kimmirut,Pangnirtung,Qikiqtarjuaq,Sanikiluaq,Arctic Bay,Clyde River,Resolute,Grise Fiord,Pond Inlet,Arviat,Baker Lake,Chesterfield Inlet,Coral Harbour,Rankin Inlet,Naujaat,Whale Cove,Cambridge Bay,Gjoa Haven,Kugaaruk,Kugluktuk,Taloyoak,Qikiqtaaluk,Kivalliq,Kitikmeot,Nunavut,,,
Item and Size(s)1,Per Kilogram ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grams of Items,Price of the item in Grams,ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter [454g],18.13,15.40,14.85,17.64,11.34,19.36,16.86,12.81,18.45,17.38,19.36,24.01,18.13,13.97,12.37,14.76,17.93,14.52,13.96,17.60,15.44,13.66,9.45,15.79,16.86,17.21,15.02,14.24,16.00,454.00,7.26,1920273
Margarine [907g],13.31,12.74,10.52,11.49,10.41,10.41,10.06,10.37,11.48,12.34,…,…,11.90,8.14,11.43,6.49,14.84,10.18,10.90,7.71,11.76,10.31,13.99,11.22,13.52,11.37,9.95,12.16,11.11,907.00,10.08,2058595.00
Yogurt [650g],8.68,8.45,8.37,…,10.24,9.00,8.32,8.47,7.87,8.08,7.68,…,9.45,7.05,8.06,7.83,…,7.42,7.40,7.68,6.54,8.22,9.83,8.33,9.10,8.60,7.57,8.40,8.27,650.00,5.38,463067.00
Cheddar Cheese [270-300g],27.63,29.59,25.08,25.95,31.27,29.59,34.96,28.85,33.22,33.30,44.41,31.30,29.19,27.67,37.93,33.11,32.70,37.93,32.56,35.15,36.85,36.74,…,34.22,34.22,31.10,33.86,35.51,32.64,270.00,8.81,2341112.00
Processed Sliced Cheese [450-500g],21.46,23.43,20.08,19.22,15.98,…,18.71,18.65,18.10,15.42,24.02,20.87,19.37,17.96,17.99,17.93,19.76,19.68,17.84,19.20,20.76,21.49,…,19.83,23.61,19.61,18.62,21.42,19.62,450.00,8.83,2341173.00
Skim Milk Powder [500g],23.54,18.94,24.48,20.88,22.68,22.75,25.45,25.98,31.98,…,…,…,18.11,19.58,19.38,18.35,24.58,20.15,21.61,19.58,20.11,21.14,19.98,21.65,21.18,23.48,20.46,20.81,21.91,500.00,10.96,2673399.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Soda Crackers [450-454g],17.90,15.09,18.56,16.63,15.33,16.62,16.25,15.44,17.28,15.02,…,14.80,18.68,12.63,16.90,14.91,14.71,19.74,14.80,13.25,17.57,18.24,20.91,15.48,17.65,16.47,15.28,17.97,16.43,450.00,7.39,1909027.00
Spaghetti Noodles [900g],7.65,7.07,7.03,8.01,8.02,8.25,8.92,11.10,7.14,6.14,9.16,…,10.35,7.99,7.52,10.17,7.82,7.27,8.96,6.47,7.21,7.46,10.32,10.08,7.16,8.24,8.03,8.44,8.22,900.00,7.40,1909027.00
Macaroni and Cheese Dinner [200-225g],16.47,14.34,12.40,17.19,25.95,16.20,14.58,15.51,16.40,22.17,19.65,11.07,…,10.90,14.30,13.24,15.62,13.63,14.51,11.91,11.86,14.10,18.70,15.41,13.11,16.83,13.44,14.64,15.38,200.00,3.08,2488350.00
Corn Flakes [700g-1.35kg],9.62,…,…,12.77,…,11.80,13.60,13.93,13.11,14.22,…,…,13.11,…,11.47,…,…,…,13.93,…,13.11,…,…,7.37,…,12.77,12.70,10.24,12.34,700.00,8.63,2008489
