Nutrition,C 1-3,F 4-8,M 4-8,F 9-13,M 9-13,F 14-18,M 14-18,F 19-30,M 19-30,F 31-50,M 31-50,F 51+,M 51+,Source
"Vitamin A, RAE",300,350,350,450,450,650,700,700,800,700,800,700,800,
Thiamin,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Riboflavin,0.6,0.7,0.7,1,1,1.4,1.3,1.6,1.6,1.6,1.6,1.6,1.6,
Niacin,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,
"Folate, DFE",150,200,200,300,300,400,400,400,400,400,400,400,400,
"Vitamin C, total ascorbic acid",25,35,35,55,55,75,80,95,110,95,110,95,110,
Energy,1000,1200,1400,1600,1800,1800,2200,2000,2400,1800,2200,1600,2000,
Protein,13,19,19,34,34,46,52,46,56,46,56,46,56,
"Fiber, total dietary",14,16.8,19.6,22.4,25.2,25.2,30.8,28,33.6,25.2,30.8,22.4,28,
"Calcium, Ca",700,1000,1000,1300,1300,1300,1300,1000,1000,1000,1000,1200,1000,
"Carbohydrate, by difference",130,130,130,130,130,130,130,130,130,130,130,130,130,
"Iron, Fe",7,10,10,8,8,15,11,18,8,18,8,8,8,
"Magnesium, Mg",80,130,130,240,240,360,410,310,400,320,420,320,420,
"Phosphorus, P",460,500,500,1250,1250,1250,1250,700,700,700,700,700,700,
"Potassium, K",3000,3800,3800,4500,4500,4700,4700,4700,4700,4700,4700,4700,4700,
Vitamin B-12,0.9,1.2,1.2,1.8,1.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,
Vitamin B-6,0.6,0.7,0.7,1,1,1.3,1.5,1.6,1.8,1.6,1.8,1.6,1.8,
Vitamin E (alpha-tocopherol),6,7,7,11,11,15,15,15,15,15,15,15,15,
Vitamin K (phylloquinone),30,55,55,60,60,75,75,90,120,90,120,90,120,
"Zinc, Zn",3,5,5,8,8,9,11,8,11,8,11,8,11,
